customer_id,region,plan_type,monthly_fee_sar,tenure_months,avg_data_gb_prior_3mo,avg_data_gb_recent_3mo,support_calls_last_3mo,late_payments_last_6mo,contacted_competitor_offer
C0111,Dammam,Basic,89,58,26.6,14.8,0,0,Yes
C0112,Dammam,Premium,219,48,19.0,10.5,3,0,No
C0113,Mecca,Standard,149,17,36.9,42.1,0,2,No
C0114,Medina,Basic,89,10,31.1,15.7,2,0,No
C0115,Medina,Premium,219,6,32.5,14.3,1,1,No
C0116,Dammam,Unlimited,299,53,27.0,28.4,1,1,No
C0117,Riyadh,Standard,149,42,6.3,7.1,0,0,Yes
C0118,Medina,Premium,219,32,8.2,3.6,1,0,No
C0119,Dammam,Unlimited,299,38,30.7,11.9,0,0,No
C0120,Medina,Basic,89,45,17.3,19.6,3,0,No
